x1,x2,x3,x4
0.29,5.04,1.93,33.85
0.28,3.95,2.51,35.82
0.31,4.88,2.31,36.40
0.30,5.97,1.90,37.87
0.28,4.57,2.32,38.30
0.11,1.74,2.49,39.19
0.25,4.66,2.12,39.21
0.26,5.28,1.98,39.94
0.39,7.32,2.25,42.41
0.37,6.22,1.71,28.97
0.31,4.20,2.76,37.80
0.35,5.10,2.10,31.10
0.29,4.46,2.50,38.30
0.33,5.60,3.06,51.80
0.18,2.80,2.40,37.60
0.28,4.01,2.58,36.78
0.44,6.69,3.05,46.16
0.22,4.55,1.85,38.95
0.34,5.73,2.43,40.60
0.30,5.12,2.58,43.69
0.31,4.77,1.97,30.40
0.27,5.16,2.03,39.46
0.66,11.05,2.32,39.34
0.37,5.23,2.48,34.86
0.35,5.37,2.25,35.07
