geonameid,name,asciiname,alternatenames,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code,admin3 code,admin4 code,population,elevation,dem,timezone,modification date
2058430,Whyalla,Whyalla,"Gorad Uajala,Gouaialla,Uajalla,Vajala,Vajalla,WYA,Whyalla,huai a la,hwaiaella,uaiala,?????????,???????,??????,????? ?????,???????,?????,??????,???,????",-33.03268,137.56484,P,PPLA2,AU,,5,48540,,,19645,,20,Australia/Adelaide,23/08/2013
2062338,Rockingham,Rockingham,"Rockingham,Rokingam,????????",-32.27682,115.72978,P,PPL,AU,,8,57490,,,108022,,8,Australia/Perth,25/06/2013
2062944,Prospect,Prospect,,-34.88241,138.5933,P,PPL,AU,,5,46510,,,20217,,43,Australia/Adelaide,25/06/2013
2063042,Port Hedland,Port Hedland,"PHE,Port Hedland,Port Khedland,Port-Gedlend,Port-Khedlend,poteuhedeullaendeu,potoheddorando,???? ???????,????-???????,????-???????,????-????????,?????????,??????",-20.31215,118.61059,P,PPL,AU,,8,57280,,,15044,,5,Australia/Perth,25/06/2013
2063523,Perth,Perth,"Gorad Pert,PER,Peairt,Pert,Perta,Pertas,Perth,Perth City,Perthia,Perto,Perþ,Pirth,Purt,P?rta,byrth,part,partha,pasu,peoseu,pert,pheirth,po si,prt,prt',prt?  as?rylya,????,????? ????,????,?????,????,????,???',????,???,????? ????????,????,??????,?????,???????,??????,??????????,?????,???,??,??",-31.95224,115.8614,P,PPLA,AU,,8,51310,,,1896548,,34,Australia/Perth,25/06/2013
2065176,Murray Bridge,Murray Bridge,"Marri-Bridzh,Murray Bridge,?????-?????",-35.11986,139.27345,P,PPL,AU,,5,45040,,,19577,,36,Australia/Adelaide,3/08/2013
2065594,Mount Isa,Mount Isa,"ISA,Maunt Ajza,Maunt-Ajza,Mont Isa,Mount Ajza,Mount Isa,Mt Isa,Mt. Isa,yi sa shan,????? ????,?????-????,????? ????,????? ????,?????-????,???",-20.72523,139.49727,P,PPL,AU,,4,35300,,,22785,,363,Australia/Brisbane,25/06/2013
2065740,Morphett Vale,Morphett Vale,Morphett Vale,-35.13333,138.51667,P,PPL,AU,,5,45340,,,22602,,92,Australia/Adelaide,25/06/2013
2067119,Mandurah,Mandurah,"Mandujura,Mandura,Mandurah,Mandzhera,man du la,mandula,mandwrah,manjura,mndwra,mondurahi,????????,???????,????????,????????,??????,???????,?????????,?????,???,???",-32.5269,115.7217,P,PPL,AU,,8,55110,,,83294,,4,Australia/Perth,25/06/2013
2068079,Kwinana,Kwinana,Kwinana,-32.23013,115.78128,P,PPL,AU,,8,54830,,,30433,,7,Australia/Perth,25/06/2013
2068823,Kalgoorlie,Kalgoorlie,"KGI,Kalgoorlie,Kalgoorlie-Boulder,Kalgurli,Kalgurli-Bolder,ka er gu li,kaelgulli,kalagurli,kalghwrly,kalgwrly,karuguri,????????,????????-??????,????????,????????,????????,?????????,????????,??????,????,???",-30.74614,121.4742,P,PPL,AU,,8,54280,,,31107,,387,Australia/Perth,26/04/2014
2070571,Gosnells,Gosnells,Gosnells,-32.081,116.0054,P,PPL,AU,,8,53780,,,17277,,23,Australia/Perth,8/04/2014
2070998,Geraldton,Geraldton,"Dzeraldton,Dzheral'dton,Dzheraldton,GET,Geraldton,jeleolteon,jeraruton,jie la er dun,jyraldtwn,?????????,??????????,???????????,?????????,????????,??????????,??????,????,???",-28.77897,114.61459,P,PPL,AU,,8,53520,,,26872,,15,Australia/Perth,16/06/2014
2071059,Gawler,Gawler,"Gawler,Goler,?????",-34.60251,138.74902,P,PPL,AU,,5,42030,,,20006,,57,Australia/Adelaide,3/08/2013
2071223,Fremantle,Fremantle,"Fremantle,Frimantl,JFM,frymantl,fu li man te er,furimantoru,peulimaenteul,????????,????????,????????,?????????,???????,?????,????",-32.05,115.76667,P,PPL,AU,,8,53430,,,24835,,26,Australia/Perth,25/06/2013
