MakeModel,Price,mpg,rep78,rep77,hroom,rseat,trunk,weight,length,turn,displa,gratio,Origin
AMC Concord,4099,22,3,2,2.5,27.5,11,2930,186,40,121,3.58,A
AMC Pacer,4749,17,3,1,3,25.5,11,3350,173,40,258,2.53,A
AMC Spirit,3799,22,.,.,3,18.5,12,2640,168,35,121,3.08,A
Audi 5000,9690,17,5,2,3,27,15,2830,189,37,131,3.2,E
Audi Fox,6295,23,3,3,2.5,28,11,2070,174,36,97,3.7,E
BMW 320I,9735,25,4,4,2.5,26,12,2650,177,34,121,3.64,E
Buick Century,4816,20,3,3,4.5,29,16,3250,196,40,196,2.93,A
Buick Electra,7827,15,4,4,4,31.5,20,4080,222,43,350,2.41,A
Buick Le sabre,5788,18,3,4,4,30.5,21,3670,218,43,231,2.73,A
Buick Opel,4453,26,.,.,3,24,10,2230,170,34,304,2.87,A
Buick Regal,5189,20,3,3,2,28.5,16,3280,200,42,196,2.93,A
Buick Riviera,10372,16,3,4,3.5,30,17,3880,207,43,231,2.93,A
Buick Skylark,4082,19,3,3,3.5,27,13,3400,200,42,231,3.08,A
Cad. Deville,11385,14,3,3,4,31.5,20,4330,221,44,425,2.28,A
Cad. Eldorado,14500,14,2,2,3.5,30,16,3900,204,43,350,2.19,A
Cad. Seville,15906,21,3,3,3,30,13,4290,204,45,350,2.24,A
Chev. Chevette,3299,29,3,3,2.5,26,9,2110,163,34,231,2.93,A
Chev. Impala,5705,16,4,4,4,29.5,20,3690,212,43,250,2.56,A
Chev. Malibu,4504,22,3,3,3.5,28.5,17,3180,193,41,200,2.73,A
Chev. Monte Carlo,5104,22,2,3,2,28.5,16,3220,200,41,200,2.73,A
Chev. Monza,3667,24,2,2,2,25,7,2750,179,40,151,2.73,A
Chev. Nova,3955,19,3,3,3.5,27,13,3430,197,43,250,2.56,A
Datsun 200-SX,6229,23,4,3,1.5,21,6,2370,170,35,119,3.89,J
Datsun 210,4589,35,5,5,2,23.5,8,2020,165,32,85,3.7,J
Datsun 510,5079,24,4,4,2.5,22,8,2280,170,34,119,3.54,J
Datsun 810,8129,21,4,4,2.5,27,8,2750,184,38,146,3.55,J
Dodge Colt,3984,30,5,4,2,24,8,2120,163,35,98,3.54,A
Dodge Diplomat,5010,18,2,2,4,29,17,3600,206,46,318,2.47,A
Dodge Magnum XE,5886,16,2,2,3.5,26,16,3870,216,48,318,2.71,A
Dodge St. Regis,6342,17,2,2,4.5,28,21,3740,220,46,225,2.94,A
Fiat Strada,4296,21,3,1,2.5,26.5,16,2130,161,36,105,3.37,E
