Speed,Accuracy,Method,Strategy
36,26,1,1
34,22,1,1
28,21,1,1
34,23,1,1
34,21,1,1
29,19,1,1
48,25,1,1
28,20,1,1
34,21,1,1
38,20,1,1
42,25,2,1
47,24,2,1
51,29,2,1
35,25,2,1
37,26,2,1
44,28,2,1
44,25,2,1
49,24,2,1
43,24,2,1
36,26,2,1
46,17,1,2
34,21,1,2
31,17,1,2
31,18,1,2
36,23,1,2
26,19,1,2
35,16,1,2
33,19,1,2
23,15,1,2
30,14,1,2
32,18,2,2
39,19,2,2
37,17,2,2
31,17,2,2
36,19,2,2
32,19,2,2
31,17,2,2
41,21,2,2
36,18,2,2
40,20,2,2
26,14,1,3
31,14,1,3
30,16,1,3
34,16,1,3
30,13,1,3
27,13,1,3
21,12,1,3
31,15,1,3
37,14,1,3
29,14,1,3
28,11,2,3
28,10,2,3
25,10,2,3
22,12,2,3
27,11,2,3
25,12,2,3
33,14,2,3
31,13,2,3
28,12,2,3
23,11,2,3
